".","Only ternary?","Draw?","Color (outline)","Color(fill)","Expansion","Font","Family","Thickness"
"Plot window","no",,"#","par('bg')","#","#","#","#"
"Plot area","no",,"#","tpPar('plot.bg')","#","#","#","#"
"Data points","no","type: 'p', 'n'","col","bg","cex","#","#","lwd"
"Data points as text symbols","no","type: 'p', 'n'","col","#","cex","font","family","#"
"Data lines","no","type: 'l', 'n'","col","#","#","#","#","lwd"
"Axis:","no","ternaryPlot(…,'axes')","see below","see below","see below","see below","see below","see below"
"* lines","no","with ternaryAxis()","fg","#","#","#","#","tpPar('axis.line.lwd')"
"* ticks","no","with ternaryAxis()","fg","#","#","#","#","tpPar('axis.line.lwd')"
"* ticks labels","no","with ternaryAxis()","col.axis","#","cex.axis","font.axis","family","#"
"* axis labels
  (or arrow labels)","no","with ternaryAxis()","col.lab","#","cex.lab","font.lab","family","#"
"* arrow lines","yes","tpPar('arrows')
TpPar('arrowsBreak')","fg","#","#","#","#","tpPar('axis.line.lwd')"
"Box (over axis)","no","ternaryPlot(…,'frame.plot')","fg","#","#","#","#","tpPar('axis.line.lwd')"
"Ternary classes:","yes","ternaryPlot(…,'classes')","see below","see below","see below","see below","see below","see below"
"* polygons","yes","with ternaryPolygons()","tpPar('class.line.col')","tpPar('class.bg')","#","#","#","tpPar('class.line.lwd')"
"* labels","yes","with ternaryPolygons()","tpPar('class.lab.col')","#","tpPar('class.lab.cex')","tpPar('class.lab.font')","family","#"
"Grid","yes","ternaryPlot(…,'grid')","tpPar('grid.line.col')","tpPar('grid.bg')","#","#","#","tpPar('grid.line.lwd')"
"Titles:","no","see below","see below","see below","see below","see below","see below","see below"
"* main","no","ternaryPlot(…,'main')","col.main","#","cex.main","font.main","family","#"
"* sub","no","ternaryPlot(…,'sub')","col.sub","#","cex.sub","font.sub","family","#"
